,SMILES,Name,CAS #,human VDss (L/kg),human CL (mL/min/kg),"fraction unbound 
in plasma (fu)",MRT (h),terminal  t1/2 (h),Reference,Comments ,Notes,Year of first disclosure,MW,HBA,HBD,TPSA_NO,RotBondCount,moka_ionState7.4,MoKa.LogP,MoKa.LogD7.4
1294,CN[C@H](CC(C)C)C(=O)N[C@@H]1[C@H](O)c2ccc(Oc3cc4cc(Oc5ccc(cc5Cl)[C@@H](O)[C@@H]6NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@H](CC(=O)N)NC1=O)c7ccc(O)c(c7)c8c(O)cc(O)cc8[C@H](NC6=O)C(=O)O)c3O[C@@H]9O[C@H](CO)[C@@H](O)[C@H](O)[C@H]9O[C@H]%10C[C@](C)(N)[C@H](O)[C@H](C)O%10)c(Cl)c2,Vancomycin,1404-90-6,0.54,1.3,0.7,6.9,6.5,"Rodvold KA, Blum RA, Fischer JH, Zokufa HZ, Rotschafer JC, Crossley KB, and Riff LJ (1988) Vancomycin pharmacokinetics in patients with various degrees of renal function.  Antimic. Agents Chemother. 32: 848-852.  Matzke GR, McGory RW, Halstenson CE, and Keane WF (1984) Pharmacokinetics of vancomycin in patients with various degrees of renal function. Antimic. Agents Chemother. 25: 433-437.  Cutler NR, Narang PK, Lesko LJ, Ninos M, and Power M (1984) Vancomycin disposition: the importance of age.  Clin. Pharmacol. Ther. 36: 803-810.  Nakashima M, Katagiri K, Oguma T (1992) Phase 1 studies for vancomycin hydrochloride for injection.  Chemotherapy 40: 210-224.",,,1955,1449.25,33,19,530.5,13,cationic,0.29,-2.6
862,COc1nc(N)nc2c1ncn2[C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3O,Nelarabine,121032-29-9,4.9,81.0,0.8,1.0,0.5,PDR Arranon Product Label. Accessed July 31 2014. http://www.pdr3d.com/detail.php?c=103264#section-13,,,1968,297.27,10,4,148.8,3,neutral,-1.9,-1.9
578,C1[C@@H]2[C@@H](CN1NC(NS(c1ccc(C)cc1)(=O)=O)=O)CCC2,Gliclazide,21187-98-4,0.43,0.41,0.03,17.5,16.4,"Complete bioavailability and lack of food-effect on pharmacokinetics of gliclazide 30 mg modified release in healthy volunteers  Delrat, P.; Paraire, M.; Jochemsen, R. Biopharmaceutics & Drug Disposition (2002), 23(4), 151-157. ppb: (from abstract in English) Xu, Shanshan; Xue, Yuehua; Tian, Ziyou; Chen, Saizhen; Wang, Zhichao; Wang, Renye. Effect of irbesartan on the plasma protein binding rate of gliclazide in vitro Zhongguo Linchuang Yaoxue Zazhi. 2013, 22, 151-155","N=2, 73 kg reported average weight. MRT = VDss/CL.",,1968,323.41,6,2,78.5,3,anionic,1.7,0.2
758,COC(=O)Nc1nc2cc(ccc2[nH]1)C(=O)c3ccccc3,Mebendazole,31431-39-7,1.2,15.0,0.0859999999999999,1.3,1.1,"Dawson M, Braithwaite PA, Roberts MS, Watson TR (1985) The pharmacokinetics and bioavailability of a tracer dose of [3H]-mebendazole in man.  Br. J. Clin. Pharmacol. 19: 79-86.",,,1946,295.29,6,2,84.1,4,neutral,3.0,-0.42
1084,C[C@H](c1cc(cc(c1)C(F)(F)F)C(F)(F)F)OC[C@]2(CC[C@]3(CCC(=O)N3)CN2)c4ccccc4,Rolapitant,552292-08-7,,0.38,0.002,,148.5,"X Wang, ZY Zhang, D Powers, J Wang, S Lu and V Kansra. Rolapitant Absolute Bioavailability and PET Imaging Studies in Healthy Adult Volunteers. Clin. Phramacol. Ther. 2017. Accessed May 12 2017. doi:10.1002/cpt.637.//ppb: https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/206500s000lbl.pdf. Accessed May 12 2017.",SCH 619734. Varubi. 100 ug iv dose of 14C rolapitant together with 180 mg of drug po. N=4. No plot or data relevant for MRT or VDss.,,2003,500.48,4,2,50.4,5,cationic,5.1,3.8
141,COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC,Bevantolol,59170-23-9,0.67,5.5,0.0149999999999999,2.0,1.9,"McNeil JJ, Drummer OH, Anderson AIE, and Louis WJ (1986) Pharmacokinetics and concentration-effect relationships of bevantolol (CI-775) in normal volunteers.  J. Cardiovasc. Pharmacol. 8: 1201-1207.  Ichikawa M, Haruki S, Esumi Y, Takaichi M, Seki H, and Shiina M (1992) Metabolic fate of bevantolol hydrochloride.  Absorption, distribution and excretion in rats and dogs after single oral administration.  Yakuri to Chiryo 20: 1695-1708. ",VDss calculated from reported microconstants.,,1976,345.43,5,2,59.9,10,cationic,2.9,1.9
632,CC#CCC(C)[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2C\C(=C/CCCC(=O)O)\C[C@H]12,Iloprost,78919-13-8,0.37,16.0,0.4,0.39,0.57,Krause W and Krais T (1986) Pharmacokinetics and pharmacodynamics of the prostacyclin analogue iloproset in man.  Eur. J. Clin. Pharmacol. 30: 61-68.  Hildebrand M (1997) Pharmacokinetics and tolerablity of oral iloprost in thromboangitis obliterans patients.  Eur. J. Clin. Pharmacol. 53: 51-56.  Ventavis Product Label.,VDss calculated from digitized plots.  VDss and CL data are the average of the two reports; t1/2 data are only from Hildebrandt. ,,1981,360.49,4,3,77.8,9,anionic,3.5,0.96
354,C1CCN2[C@@H](C1)C(=O)O[C@@H](CC(=O)[C@@H](C=C([C@H]([C@H](C(=O)[C@@H](C[C@@H](C=CC=CC=C([C@H](C[C@@H]1CC[C@H]([C@](C(=O)C2=O)(O1)O)C)OC)C)C)C)OC)O)C)C)[C@H](C)C[C@@H]1CC[C@H]([C@@H](C1)OC)OP(=O)(C)C,Deferolimus,572924-54-0,3.2,1.1,,48.5,46.3,"Hartford CM et al. A Phase I trial to determine the safety, tolerability, and maximum tolerated dose of deferolimus in patients with advanced malignancies. Clin. Cancer Res. 2009, 15, 1428-1434. ","Ridaforolimus, MK 8669, AP23573.  82 kg median weight, weight-averaged across 41 patients and 6 doses. Average VDss 261 L, average clearance 5.34 L/h. NOT a sirolimus prodrug.",,2003,990.21,15,2,201.5,8,neutral,6.4,6.4
634,[H]N([H])C(C(CCn1ccnc1C)(c1ccccc1)c1ccccc1)=O,Imidafenacin,170105-16-5,1.51,6.1,0.12,4.1,3.2,"Ohno T, Nakade S, Nakayama K, et al. Absolute bioavailability of imidafenacin after oral administration to healthy subjects. Br J Clin Pharmacol 2008, 65, 197-202.//ppb: http://www.kyorin-pharm.co.jp/prodinfo/medicine/pdf/URITOS_Tablets01mg.pdf. Accessed June 30 2017.","N=14, 0.1 mg/kg, 15' inf. healthy volunteers, 80.6 average weight, 122 L VDss, Cltot 29.5 L/h.",,1995,319.4,4,1,60.9,6,neutral,1.8,1.7
1109,N1([C@H](CC2[C@H]1C2)C#N)C(=O)[C@@H](C12CC3CC(C1)(O)CC(C3)C2)N,Saxagliptin,361442-04-8,1.8,7.1,1.0,4.1,7.5,"Simultaneous oral therapeutic and intravenous 14C-microdoses to determine the absolute oral bioavailability of saxagliptin and dapagliflozin Boulton, David W.; Kasichayanula, Sreeneeranj; Keung, Chi Fung; Arnold, Mark E.; Christopher, Lisa J.; Xu, Xiaohui; LaCreta, Frank  British Journal of Clinical Pharmacology (2013), 75(3), 763-768. ",40 ug labelled iv dose given at Tmax of a po pharmacological dose (5mg). N=8 and 70 kg average weight assumed.MRT from Cl and Vss. Negligible protein binding. Fu assumend to be 1 from PDR data. PDR. Accessed June 12 2013. http://www.pdr3d.com/detail.php?c=56625#section-13. ,PDR. Accessed June 12 2013. http://www.pdr3d.com/detail.php?c=56625#section-13. Data in PDR suggestive of some renal clearance with active secretion component but no definitive quantitative data available. ,2004,315.41,5,2,90.4,3,neutral,0.086,0.077
