SMILES,log2CL,log2CL_pred,Name,CAS #,human VDss (L/kg),human CL (mL/min/kg),"fraction unbound 
in plasma (fu)",MRT (h),terminal  t1/2 (h),Reference,Comments ,Notes,Year of first disclosure,MW,HBA,HBD,TPSA_NO,RotBondCount,moka_ionState7.4,MoKa.LogP,MoKa.LogD7.4
Brc1ccc2NC(=O)CN=C(c3ccccn3)c2c1,-0.9714308478032292,1.3810811,Bromazepam,1812-30-2,0.85,0.51,0.48,28.0,21.0,"Raaflaub VJ and Speiser-Courvoisier J (1974) Zur pharmakokinetik von bromazepam beim menschen.  Arz. Forsch. 24: 1841-1844.  Lucek RW and Coutinho CB (1976) The role of substituents in the hydrophobic binding of the 1,4-benzodiazepines by human plasma proteins.    Molec. Pharmacol. 12: 612-619.",Parameters calculated from C vs t data provided in the reference.,,1962,316.15,4,1,54.3,1,neutral,2.0,2.0
C(=O)(NC(=N)N)c1c(n(nc1)c1c2c(ccc1)nccc2)C1CC1,4.392317422778761,2.8763974,Zoniporide,241800-98-6,1.7,21.0,0.34,1.3,2.0,"Cross-Species Comparison of the Metabolism and Excretion of Zoniporide: Contribution of Aldehyde Oxidase to Interspecies Differences. Deepak Dalvie, Chenghong Zhang, Weichao Chen, Teresa Smolarek, R. Scott Obach, and Cho-Ming Loi. DRUG METABOLISM AND DISPOSITION, 2010,38:641–654.// ppb: Zientek M, Jiang Y, Youdim, K, and Obach RS (2010) In vitro-in vivo correlation for intrinsic clearance for drugs metabolized by human aldehyde oxidase.  Drug Metab. Dispos. 38: 1322-1327.","MRT from clearance and VDss. 80 mg, 1 h infusion.",,1999,320.35,7,3,109.7,4,neutral,1.0,1.0
"C(=O)([C@@H](COC)NC(=O)C)NCc1ccccc1
",-0.8109661756099832,2.3209047,Lacosamide,175481-36-4,0.58,0.57,0.85,17.2,12.3,"Bioequivalence of Intravenous and Oral Formulations of the Antiepileptic Drug Lacosamide. Willi Cawello, Rainer Bonn, Hilmar Boekens. Pharmacology 2012;90:40-46 . ppb: < 15% as reported by PDR. http://www.pdr3d.com/detail.php?c=130625#section-14. Accessed December 30 2014.","Data after 200 mg 15 min infusion (N=16, mean BW = 77.3 kg) digitized from Fig 1 reported in Willi Cawello, Rainer Bonn, Hilmar Boekens. Bioequivalence of Intravenous and Oral Formulations of the Antiepileptic Drug Lacosamide Pharmacology 2012, 90, 40–46. Reported data: AUC(0–t), h*µg/ml 72.33 (±17.4), AUC(0–inf), h*µg/ml 75.40 (±17.0), T1/2, h 12.6, Calculated data, AUCINF_obs h*ug/mL 76.41",,1996,250.29,5,2,67.4,6,neutral,-0.2,-0.2
C(=O)([C@@H](NC(=O)c1ccc(cc1)NC[C@@H]1N(c2c(=O)nc([nH]c2NC1)N)C=O)CCC(=O)O)O,2.035623909730721,0.90351814,Levoleucovorin,68538-85-2,0.27,4.1,,1.1,1.1,"Eberhard Schleyer á Karl Lenhard Rudolph, Jan Braess á Michael Unterhalt á Gerhard Ehninger Wolfgang Hiddemann á Wolfgang Kern, Impact of the simultaneous administration of the (+)- and (-)-forms
of formyl-tetrahydrofolic acid on plasma and intracellular pharmacokinetics of (-)-tetrahydrofolic acid. Cancer Chemother Pharmacol (2000) 45: 165-171","Structure and CAS number referring to free acid. Also reported as dl-CF. N=4, 100 mg/m2, 70 kg weight assumed, 10' infusion, MRT from VDss and clearance.",,1948,473.44,14,7,219.8,9,anionic,-2.0,-7.7
C(=O)([O-])C(=C1\[C@@H](OC(=O)C)C[C@@]2([C@@]3(CC[C@H]4[C@@H]([C@@H](CC[C@@]4(C)[C@@H]3[C@H](O)C[C@@H]12)O)C)C)C)\CC\C=C(\C)C,-1.5145731728297585,0.9160902,Fusidate sodium,751-94-0,0.23,0.35,0.02,10.6,9.8,"A. M. Taburet, J. Gufbert, M. D. Kitris, H. Sorensen, J. F. Acar and E. Singes. Pharmacokinetics of sodium fusidate after single and repeated infusions and oral administration of a new formulation. Journal of Antimicrobial Chemotherapy (1990) 25, Suppl. B, 23-31.//ppb: Markus A. Zeitlinger, Hartmut Derendorf, Johan W. Mouton, Otto Cars, William A. Craig, David Andes, and Ursula Theuretzbacher. Protein Binding: Do We Ever Learn? ANTIMICROB AGENTS CHEMOTHER., 2011, 55, 3067–3074.","N=8, 61.6 kg average weight, dose 500 mg 2 hr infusion. VDss calculated from MRT and clearance from first dose.",,1962,515.7,6,2,106.9,6,anionic,5.7,3.3
C(=O)(c1ccc(c(c1)OCC1CC1)OC(F)F)Nc1c(cncc1Cl)Cl,1.1375035237499351,2.4704945,Roflumilast,162401-32-3,1.92,2.2,0.01,14.5,15.1,"High absolute bioavailability of the new oral phosphodiesterase-4 inhibitor roflumilast T.D. Bethke and G. Lahu. Int. J.of Clin. Pharmacol. and Therapeutics, 2011,  49, 51-57."," Calculated from digitized plot. Median weight 75kg. Reported AUC(-inf)= 14.1 ug*h/L.Calculated AUC 15.1 ng*h/mL. 150 ug dose, N=12.",,1995,403.21,5,1,60.4,7,neutral,3.5,3.5
C(C(C)C)CCCCCCC(=O)N[C@H]1[C@H](Oc2c3cc4[C@H](C(N[C@@H]5c6cc(c7c([C@@H](NC([C@H]([C@@H](c8cc(c(O3)cc8)Cl)O[C@H]3[C@@H]([C@H]([C@H](O)[C@H](O3)CO)O)NC(C)=O)NC5=O)=O)C(=O)O)cc(O)cc7O[C@H]3O[C@@H]([C@@H](O)[C@@H]([C@@H]3O)O)CO)c(cc6)O)=O)NC([C@@H]3c5cc(Oc6cc(ccc6O)[C@@H](C(N[C@@H](C(N3)=O)Cc3cc(c(Oc2c4)cc3)Cl)=O)N)cc(c5)O)=O)O[C@@H]([C@H](O)[C@@H]1O)CO,-3.473931188332412,-2.367359,Teicoplanin A2-5,91032-38-1,0.42,0.09,0.033,78.2,66.8,"Bernareggi A, Borgonovi M, Del Favero A, Rosina R, and Gavanaghi L (1991)  Teicoplanin binding in plasma following administration of increasing intravenous doses to healthy volunteers.  Eur. J. Drug Metab. Pharmacokinet. 256-260.",Dosed as mixture of all components but PK reported separately for each compound.N=5. MRT from VDss and clearance.,,1983,1893.68,42,24,662.4,20,anionic,1.4,-1.3
C(C(F)(F)F)(C(F)(F)F)(F)F,9.206306225009923,3.659885,Perflutren,76-19-7,1.6,590.71,,0.05,0.02,"https://www.accessdata.fda.gov/drugsatfda_docs/nda/2001/21-064_Definity_biopharmr.pdf.
 Accessed May 18 2017.","Definity.PFC 218. Data in blood. It may be assumed that bl/pl is =1. N=8, healthy volunteers. 70 kg average weight assumed.",,1930,188.02,0,0,0.0,0,neutral,2.5,2.5
C(C1CCCC1)(c1ccccc1)(C(=O)OC1C[N+](CC1)(C)C)O.[Br-],4.070389327891398,1.7930361,Glycopyrrolate bromide,596-51-0,0.37,16.8,,0.37,0.65,"Penttilä J et al. Pharmacokinetic-pharmacodynamic model for the anticholinergic effect of glycopyrrolate. Eur J Clin Pharmacol, 2001, 57, 153-158","Data from Table 1. micro dose (5 µg/kg), N=8, 3 compartments. MRT calculated from VDss and CL. T1/2 compartment 3. Body weights 60-80kg. ",CL renal ~68% ,1960,398.33,4,1,46.5,5,neutral,-0.23,-0.23
C(CC(C)(N)C)(N[C@H](C(N[C@@H](Cc1c[nH]cn1)C(N[C@H]([C@H]([C@@H](O)CC(C)C)O)CC1CCCCC1)=O)=O)Cc1ccc(cc1)OC)=O,-1.15200309344505,2.1034148,Enalkiren,113082-98-7,0.11,0.45,0.07,3.1,1.72,"Gupta, SK; Granneman, GR; Boger, RS; Hollenberg, NK; Luther, RR. Simultaneous modeling of the pharmacokinetics and pharmacodynamic properties of enalkiren (Abbott-64662, a new renin inhibitor) I: single dose study. Drug Metab. Disp. 1992, 20, 821-825.ppb: Brian D. Dayton, Herman H. Stein, Jerome Cohen, William R. Baker, Steven A. Boyd, Stephen L. Condon, B. Gregory Donner, Anthony K. L. Fung, Jay R. Luly, Saul H. Rosenberg, Keith W. Woods, and Hollis D. Kleinert. Effects of Angiotensinase Inhibitors on Plasma Protein Binding and IC50 Determinations of Renin Inhibitors. CLIN. CHEM. 1992, 38, 2239-2243.","Abbott-64662. N=16, 70 kg average weight reported. 90 minutes infusion. Average dose 15.32 mg. VDss from 7 subjects. Data taken from Table 1.",,1979,656.86,12,7,191.7,18,cationic,2.5,0.16
