SMILES,log2VDss,log2VDss_pred,Name,CAS #,human VDss (L/kg),human CL (mL/min/kg),"fraction unbound 
in plasma (fu)",MRT (h),terminal  t1/2 (h),Reference,Comments ,Notes,Year of first disclosure,MW,HBA,HBD,TPSA_NO,RotBondCount,moka_ionState7.4,MoKa.LogP,MoKa.LogD7.4
C(CCNCCN1C(=O)c2c(ccc3ccccc23)C1=O)NCCN1C(=O)c2c(ccc3ccccc23)C1=O,3.584962500721156,2.494570775770051,Elinafide,162706-37-8,12.0,5.7,,35.2,52.6,"Phase I and Pharmacokinetic Study of LU79553, a DNA Intercalating Bisnaphthalimide, in Patients With Solid Malignancies Miguel A. Villalona-Calero, Joseph P. Eder, Deborah L. Toppmeyer, Lee F. Allen, Robert Fram, Raja Velagapudi, Michael Myers, Anthony Amato, Kathleen Kagen-Hallet, Betty Razvillas, Donald W. Kufe, Daniel D. Von Hoff, and Eric K. Rowinsky. Journal of Clinical Oncology, 2001 19, 857-869.",LU79553. N=14 across doses ranging from 2 to 24 mg/m2/day.,,1995,520.58,8,2,98.8,10,cationic,3.7,2.9
C(CN)(=O)OC[C@H]([C@@H](c1ccc(cc1)S(=O)(=O)C)O)NC(=O)C(Cl)Cl,-2.9434164716336326,-1.7642201918079226,Thiamphenicol glycinate,2393-92-2,0.13,9.6,0.27,0.23,0.28,"Yang, Bing; Li, Ning; Lu, Yang; Qiu, Zhixia; Zhao, Di; Song, Pengfei; Chen, Xijing. Pharmacokinetics of thiamphenicol glycinate and its active metabolite by single and multiple intravenous infusions in healthy Chinese volunteers. Xenobiotica, 2014, 44, 819-826. ppb: Hashimoto, T. FUNDAMENTAL STUDIES ON PHARMACOKINETICS OF ANTIBIOTICS. PART 1. BINDING OF ANTIBIOTICS TO PLASMA PROTEINS. Chemotherapy (Tokyo). 1973, 21, 38-44","VDss from MRT and clearance. N=24, across 500, 1000, 1500 mg. 30' infusion. Body weight average 58 kg.",,1963,413.27,8,3,135.8,9,cationic,-1.4,-1.8
C(N1CCN(c2nc(nc(n2)NCC=C)NCC=C)CC1)(c1ccc(F)cc1)c1ccc(F)cc1,5.144454313926194,3.319665468020623,Almitrine,27469-53-0,35.37,0.97,0.01,607.0,1344.0,"Bernhard R. Winkelmann, Thomas H. Kullmer, Dieter G. Kneissi, Dietmar Trenk, Hartmut Kronenberger. Low-dose Almitrine Bismesylate in the Treatment of Hypoxemia due to Chronic Obstructive Pulmonary Disease. Chest, 1994; 105, 1383-1391.////ppb: Bromet N; Singlas E. Clinical pharmacokinetics of almitrine dimesylate. Presse medicale, 1984, 13, 2071-2077.","N=7, average weight 64 kg. 60 mg dose. VD reported taken as VDss after calculation from clearance and t 1/2 yielded a much higher value. MRT from clearance and VDss.",,1970,477.55,7,2,69.2,10,neutral,6.0,6.0
C(SP(O)(O)=O)CNCCCN,-3.473931188332412,-2.411354399249615,Amifostine,20537-88-6,0.09,30.65,,0.05,0.15," LESLIE M. SHAW, PH.D., ANDREW T. TURRISI, M.D., DONNA J. GLOVER, M.D., HEATHER S. BONNER, B.S., A. LORRAINE NORFLEET, B.S., CLARE WEILER, R.N.
AND MORTON M. KLIGERMAN, M.D. HUMAN PHARMACOKINETICS OF WR-2721. Int. J. Radiation Oncology Bio. Phys.. 1986, 12, 1501-1504.","WR-2721, NSC 296961. 12 patients with different types of tumor. 70.8 kg average weight. 150 mg/m2, 10 seconds injection.",,1969,214.22,5,4,95.6,7,cationic,-1.4,-3.8
C([C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(NCC(N[C@@H](C(N[C@@H](C(C)C)C(O)=O)=O)CC(C)C)=O)=O)CCC(N)=O)=O)CC(C)C)=O)CC(C)C)=O)CCCNC(N)=N)=O)CCC(N)=O)=O)CC(C)C)=O)CCCNC(N)=N)=O)C)=O)CO)=O)CC(O)=O)=O)CCCNC(N)=N)=O)CC(C)C)=O)CCCNC(N)=N)=O)CO)=O)CC(C)C)=O)CCC(O)=O)=O)CO)=O)[C@@H](C)O)=O)NC([C@@H](NC(CNC([C@@H](NC([C@@H](NC([C@@H](Cc1[nH]ccn1)N)=O)CO)=O)CC(O)=O)=O)=O)[C@@H](C)O)=O)c1ccccc1,-5.058893689053568,-3.846518435943137,Secretin (porcine),1393-25-5,0.03,5.95,,0.08,0.13,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2002/21-136_SecreFlo_BioPharmr.pdf. Accessed on May 17 2017,"Secreflo. Secretin (porcine), 15-L-glutamic acid-16-glycine-. ChiRoClin. MW= 3056.42. Synthetic but identical to porcine peptide. Cross-over study with human peptide N=12, 0.4 ug/kg iv in human. 77.2 kg average weight. Data digitized from plot reported in biopharmaceutics review. No AUC reported. Clearance reported as 487 mL/min. Converted in units of mL.min-1.kg-1 yields 6.31 mL.min-1.kg-1. 6% difference",,1907,3056.39,85,52,1415.7,109,zwitterionic,-9.0,-9.0
C1(C2=C([C@H](C[C@]1([C@H]([C@H]1[C@](C(=O)[C@@H]2OC)([C@H](C[C@@H]2[C@]1(CO2)OC(=O)C)OC)C)OC(=O)c1ccccc1)O)OC(=O)[C@@H]([C@H](c1ccccc1)NC(=O)OC(C)(C)C)O)C)(C)C,5.584962500721156,4.240447536762812,Cabazitaxel,183133-96-2,48.0,11.0,0.24,72.7,74.5,"Mita, Alain C.; Denis, Louis J.; Rowinsky, Eric K.; DeBono, Johann S.; Goetz, Andrew D.; Ochoa, Leonel; Forouzesh, Bahram; Beeram, Muralidhar; Patnaik, Amita; Molpus, Kathleen; Semiond, Dorothee; Besenval, Michele; Tolcher, Anthony W. Phase I and Pharmacokinetic Study of XRP6258 (RPR 116258A), a Novel Taxane, Administered as a 1-Hour Infusion Every 3 Weeks in Patients with Advanced Solid Tumors. Clin.Cancer Res. 2009, 15,723-730. ppb: Men, Lei; Lin, Hong-li; Shao, Yan-jie; Zhao, Yun-li; Zhao, Xing; Tang, Xing; Yu, Zhi-guo. Determination of human plasma protein binding rate of cabazitaxel by UPLC-​MS​/MS. Zhongguo Xinyao Yu Linchuang Zazhi, 2014, 33, 379-383. Data from abstract and using mid-concentration range. 2-fold lower at high concentration range (fu 0.12) but similar at low concentration. Taken from abstract in English.","XRP6258 or RPR116258A or Jevtana. 23 patients overall. Doses from 10 to 25 mg/m2 as 1 hour infusion. Weighted average and 1.73m2/70kg factor used. Reported (weighted) average of clearance and VDss 26.77 L/h/m2 and 1942.8 L/m2, respectively. MRT=VDss/Cl.",,1996,835.93,15,3,202.4,14,neutral,4.0,4.0
C1(c2ccccc2)(c2ccccc2)C(=O)N(C(=O)N1)COP(=O)(O)O,-4.058893689053568,-2.969399364732705,Fosphenytoin,93390-81-9,0.06,3.5,0.05,0.17,0.16,"Aweeka, Francesca T.; Gottwald, Mildred D.; Gambertoglio, John G.; Wright, Teresa L.; Boyer, Thomas D.; Pollock, Alan S.; Eldon, Michael A.; Kugler, Alan R.; Alldredge, Brian K. Pharmacokinetics of fosphenytoin in patients with hepatic or renal disease. Epilepsia (1999), 40(6), 777-782.  ",Dosed and monitored as phosphenytoin. Healthy subjects only. 0.37 g in 30' infusion.,"Aweeka, Francesca T.; Gottwald, Mildred D.; Gambertoglio, John G.; Wright, Teresa L.; Boyer, Thomas D.; Pollock, Alan S.; Eldon, Michael A.; Kugler, Alan R.; Alldredge, Brian K. Pharmacokinetics of fosphenytoin in patients with hepatic or renal disease. Epilepsia (1999), 40(6), 777-782.  ",1984,362.27,8,3,116.2,5,anionic,1.7,-3.3
C1C[C@H](CC[C@@]21c1cc(OCC)ccc1N(S(=O)(c1c(cc(C(NC(C)(C)C)=O)cc1)OC)=O)C2=O)OCCN1CCOCC1,2.807354922057604,1.7369561069370545,Satavaptan,185913-78-4,7.0,12.3,0.1,9.4,10.4,"Satavaptan - EMA Approval Package
Withdrawal Report EMEA/CHMP/316130/2008. Accessed through Pharmapendium.","Data taken at lowest 91 mg) dose. Very tight at 5 and 10 mg doses as well. Somewhat higher (both VDss and clearance but well within two-fold) at higher doses (25, 50 and 100 mg). 70 kg assumed and MRT from VDss and clearance. ",Seemingly biliary but not clear from EMA package.,1997,643.79,11,1,123.7,10,neutral,3.5,3.2
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c2cnccn2)B(O)O,3.321928094887362,2.292600316744743,Bortezomib,179324-69-7,10.0,19.0,0.17,8.8,18.0,"Papandreou CN, Daliani D, Nix D, Yang H, Madden T, Wang X, Pien CS, Millikan RE, Tu SM, Pagliaro L, Kim J, Adams J, Elliott P, Esseltine D, Petrusich A, Dieringer P, Perez C, and Logothetis CJ (2004) Phase I trial of the proteasome inhibitor bortezomib in patients with advanced solid tumors with observations in androgen-independent prostate cancer.  J. Clin. Oncol. 22: 2108-2121.  Velcade Product Label.",,,1996,384.24,8,4,124.4,9,neutral,0.8,0.8
CC(C)[C@@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@H]4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)NCCCNCCCCN)OS(=O)(=O)O,-2.120294233717712,-1.0702320115456054,Squalamine,148717-90-2,0.23,1.2,,3.2,9.5,"Hao D, Hammond LA, Eckhardt SG, Patnaik A, Takimoto CH, Schwartz GH, Goetz AD, Tolcher AW, McCreery HA, Mamun K, Williams JI, Holroyd KJ, and Rowinsky EK (2003) A phase I and pharmacokinetic study of squalamine, an aminosterol angiogenesis inhibitor.  Clin. Canc. Res. 9: 2465-2471.",VDss calculated from C vs t data obtained by digitization of the representative plot provided in the report.,,1993,627.96,8,5,133.9,16,cationic,3.8,0.76
